network	seed	method	AUROC	AUPRC	EP_5pct	EP_10pct	time_sec
4	1	TIGRESS	0.7517473521299133	0.1989260411705634	0.1595959595959596	0.0989898989898989	26.83808398246765
4	2	GENIE3	0.7827154358365058	0.2094669830560601	0.1696969696969697	0.108080808080808	38.02343511581421
4	2	GRNBoost2	0.7144741752874589	0.1239094726807311	0.1454545454545454	0.0868686868686868	5.557312965393066
4	2	iLSGRN	0.7605478240580635	0.2052265004548957	0.1737373737373737	0.104040404040404	40.21274065971375
4	2	TIGRESS	0.7489922367623616	0.1994060619867147	0.1595959595959596	0.1	27.932034254074097
4	3	GENIE3	0.7859638550386205	0.2136743586730388	0.1676767676767676	0.1121212121212121	32.316190242767334
4	3	GRNBoost2	0.7089306826180468	0.1382253961545141	0.1474747474747474	0.0929292929292929	4.151553630828857
4	3	iLSGRN	0.7605478240580635	0.2052265004548957	0.1737373737373737	0.104040404040404	34.75261926651001
4	3	TIGRESS	0.7503635578334544	0.1963316368692286	0.1616161616161616	0.0989898989898989	21.580499172210693
4	4	GENIE3	0.7852814962392002	0.2090446902938215	0.1696969696969697	0.108080808080808	26.326881647109985
4	4	GRNBoost2	0.7061542893954594	0.1271497492559653	0.1393939393939394	0.0868686868686868	4.277940273284912
4	4	iLSGRN	0.7605478240580635	0.2052265004548957	0.1737373737373737	0.104040404040404	27.41955947875977
4	4	TIGRESS	0.7504366851743245	0.1943581462808334	0.1616161616161616	0.1	17.211287260055542
4	5	GENIE3	0.7825618439633747	0.2135724387989007	0.1696969696969697	0.1111111111111111	28.642329216003414
4	5	GRNBoost2	0.7138686124246043	0.1282996343498668	0.1494949494949495	0.0929292929292929	3.512437105178833
4	5	iLSGRN	0.7605478240580635	0.2052265004548957	0.1737373737373737	0.104040404040404	26.9824857711792
4	5	TIGRESS	0.7464679983505994	0.1896814214961714	0.1595959595959596	0.101010101010101	18.443549871444706
4	6	GENIE3	0.7851582314238211	0.2153472839142037	0.1757575757575757	0.1111111111111111	25.88495182991028
4	6	GRNBoost2	0.7040260147457982	0.1340053428424681	0.1313131313131313	0.0898989898989899	3.370682716369629
4	6	iLSGRN	0.7605478240580635	0.2052265004548957	0.1737373737373737	0.104040404040404	26.875089645385746
4	6	TIGRESS	0.7550131360183215	0.2009509534239907	0.1575757575757575	0.1	17.09814739227295
4	7	GENIE3	0.789154065855695	0.2101438679334729	0.1676767676767676	0.1101010101010101	39.00919032096863
4	7	GRNBoost2	0.7404111468568206	0.1350842296648511	0.1494949494949495	0.0909090909090909	6.400859117507935
4	7	iLSGRN	0.7605478240580635	0.2052265004548957	0.1737373737373737	0.104040404040404	40.01678419113159
4	7	TIGRESS	0.7485385537613134	0.1961124638648901	0.1575757575757575	0.101010101010101	28.49516010284424
4	8	GENIE3	0.7891119992917164	0.2117904120184165	0.1696969696969697	0.1101010101010101	38.96749711036682
4	8	GRNBoost2	0.6916626026778793	0.1354423642988217	0.1353535353535353	0.0888888888888888	6.385111331939697
4	8	iLSGRN	0.7605478240580635	0.2052265004548957	0.1737373737373737	0.104040404040404	41.5564706325531
4	8	TIGRESS	0.7500852337066659	0.2057585857124696	0.1616161616161616	0.101010101010101	27.494027137756348
4	9	GENIE3	0.7803959050645697	0.2149445319864036	0.1696969696969697	0.108080808080808	30.478851556777958
4	9	GRNBoost2	0.7367320345200179	0.1228960202166181	0.1353535353535353	0.0939393939393939	4.066141843795776
4	9	iLSGRN	0.7605478240580635	0.2052265004548957	0.1737373737373737	0.104040404040404	30.8749635219574
4	9	TIGRESS	0.747133481609819	0.1903147157339934	0.1616161616161616	0.0989898989898989	19.60939884185791
5	0	GENIE3	0.8020391245887937	0.20405866439437	0.1636363636363636	0.105050505050505	31.20883011817932
5	0	GRNBoost2	0.7307186043296567	0.0797238274651648	0.1171717171717171	0.0747474747474747	3.411983728408813
5	0	iLSGRN	0.7568439206576527	0.2105062900740129	0.1555555555555555	0.0949494949494949	32.28652858734131
5	0	TIGRESS	0.724099536096754	0.2024028213013255	0.1515151515151515	0.0929292929292929	19.50050115585327
5	1	GENIE3	0.7998634605335287	0.2077247994953542	0.1616161616161616	0.106060606060606	26.227946519851685
5	1	GRNBoost2	0.6916807538601224	0.0730927472910517	0.107070707070707	0.0777777777777777	3.1679797172546387
5	1	iLSGRN	0.7568439206576527	0.2105062900740129	0.1555555555555555	0.0949494949494949	27.277143239974976
5	1	TIGRESS	0.7285466766945066	0.2031829738431573	0.1515151515151515	0.0909090909090909	16.52125096321106
5	2	GENIE3	0.7903233124325109	0.2024955541366399	0.1616161616161616	0.103030303030303	27.22676086425781
5	2	GRNBoost2	0.6899032854342066	0.0820127543405129	0.1131313131313131	0.0747474747474747	2.89124059677124
5	2	iLSGRN	0.7568439206576527	0.2105062900740129	0.1555555555555555	0.0949494949494949	27.21033787727356
5	2	TIGRESS	0.7235022426527301	0.2124012363679883	0.1555555555555555	0.0949494949494949	17.26107954978943
5	3	GENIE3	0.7937544136462601	0.2039872896899036	0.1555555555555555	0.101010101010101	25.69328761100769
